Medicamento,Classe,Dose_Padrao_Renal_Normal,Ajuste_Hemodialise,Dialisavel,Suplementacao_Pos_HD,Recomendacao_Horario
Vancomicina,Glicopeptídeo,"15-20 mg/kg a cada 8-12h","Dose de ataque: 15-20 mg/kg. Manutenção: Baseada em nível sérico (vancocinemia). Geralmente 500mg-1g após cada HD.",Sim (Lentamente),"Sim, se o nível estiver baixo ou dose dada durante HD.","Administrar APÓS a diálise para evitar remoção e garantir pico sérico."
Meropenem,Carbapenêmico,"1g a cada 8h","500mg a 1g a cada 24h (após a sessão nos dias de diálise).",Sim,"Sim, administrar dose cheia após a sessão.","Administrar IMEDIATAMENTE APÓS a diálise."
Piperacilina-Tazobactam,Penicilina + Inibidor,"4.5g a cada 6h","2.25g a cada 8h ou 4.5g a cada 12h. Nos dias de HD, dose adicional após sessão.",Sim,"Sim (2.25g extra após HD).","Programar horário para coincidir o término da infusão com o pós-HD."
Ceftriaxona,Cefalosporina (3ª G),"1g a 2g a cada 24h","Sem ajuste necessário (1g a 2g a cada 24h).",Não,"Não necessário.","Indiferente. Pode ser administrado durante a diálise sem perda de eficácia."
Cefepima,Cefalosporina (4ª G),"1g a 2g a cada 8-12h","1g no dia 1 (ataque), depois 500mg-1g a cada 24h (pós-HD).",Sim,"Sim, administrar dose após a sessão.","Administrar APÓS a diálise. Risco de neurotoxicidade se acumular."
Ciprofloxacino,Fluoroquinolona,"400mg IV a cada 8-12h","200-400mg IV a cada 24h (pós-HD).",Minimamente (<10%),"Não costuma requerer dose extra, mas recomenda-se dar a dose diária após a HD.","Preferencialmente após a diálise para garantir absorção e nível."
Levofloxacino,Fluoroquinolona,"750mg a cada 24h","750mg (ataque), depois 250-500mg a cada 48h ou após HD.",Sim,"Sim, administrar dose de manutenção após HD.","Administrar APÓS a diálise."
Amicacina,Aminoglicosídeo,"15-20 mg/kg a cada 24h","Dose de ataque: 7.5 mg/kg. Manutenção baseada em nível sérico ou dose pós-HD (ex: 5-7.5 mg/kg).",Sim,"Sim, repor 50-70% da dose inicial se dada antes da HD.","Administrar APÓS a diálise para evitar remoção imediata."
Gentamicina,Aminoglicosídeo,"5-7 mg/kg a cada 24h","Dose de ataque: 1-1.7 mg/kg. Dose pós-HD: 1 mg/kg dependendo do nível pré-HD.",Sim,"Sim.","Administrar APÓS a diálise."
Sulfametoxazol-Trimetoprima,Sulfonamida,"Depende da indicação (ex: 5mg/kg TMP q8h)","Dose reduzida (50% da dose normal) ou intervalo prolongado.",Sim,"Sim, administrar dose suplementar (50% da dose de manutenção) após HD.","Administrar APÓS a diálise."
